k;v;base
piste:difficulty;advanced;LINE_SKIRUN_BLACK
piste:difficulty;intermediate;LINE_SKIRUN_RED
piste:difficulty;easy;LINE_SKIRUN_BLUE
piste:difficulty;novice;LINE_SKIRUN_GREEN
waterway;;LINE_WALKWAY
